物件ID,物件名,物件種別,価格,価格（万円）,間取り,間取り（部屋数）,建物面積,建物面積（㎡）,土地面積,土地面積（㎡）,築年月日,築年月日（日付）,築年数,築年数（年）,駅情報・駅徒歩,所在地,不動産会社,お気に入り登録数,ファイル名
,--- chiba.txt ---,,,,,,,,,,,,,,,,,,
6984861811,銚子市 内浜町（観音駅） 2階建 ８ＤＫ398万円,中古一戸建て,398万円,398,８ＤＫ,8,186.44m²,186.44,535.52m²,535.52,1964年1月（築62年4ヶ月）,1964-01-01,築62年3ヶ月,62,銚子電気鉄道 「観音」駅 徒歩1000ｍ,N/A,(株)外房不動産（ＪＲ外房線/大網）外房エリアのことは何でもご相談下さい！！,N/A,chiba.txt
1108593403,長生郡長生村 驚（八積駅） 平屋建 ３ＬＤＫ498万円,中古一戸建て,498万円,498,３ＬＤＫ,3,92.74m²,92.74,665.33m²,665.33,1973年8月（築52年9ヶ月）,1973-08-01,築52年8ヶ月,52,ＪＲ外房線 「八積」駅 徒歩40分,N/A,センチュリー２１　(株)ジャストウェーブ（ＪＲ外房線/茂原 徒歩9分）お客様からたくさんの『ありがとう』をいただける企業を目指しております。,N/A,chiba.txt
,--- fukuoka.html ---,,,,,,,,,,,,,,,,,,
6988886343,八女市 立花町山崎 平屋建 ３ＤＫ1万円,中古一戸建て,1万円,1,３ＤＫ,3,103.53m²,103.53,"1,117.58m²",1,1905年1月（築121年4ヶ月）,1905-01-01,築121年3ヶ月,121,【バス】八女営業所 停歩2000ｍ,N/A,(株)リヒトアイズ（ＪＲ篠栗線/篠栗 徒歩7分）オンライン相談可,N/A,fukuoka.html
6980559426,北九州市八幡東区 景勝町（スペースワールド駅） 2階建 ４ＤＫ80万円,中古一戸建て,80万円,80,４ＤＫ,4,82.12m²,82.12,711.00m²,711.00,1966年6月（築59年11ヶ月）,1966-06-01,築59年10ヶ月,59,ＪＲ鹿児島本線 「スペースワールド」駅 徒歩45分[バス利用可] バス 景勝町 停歩5分,北九州市八幡東区景勝町,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.html
6986934069,北九州市門司区 鳴竹１丁目（関門海峡めかり駅） 2階建 ４Ｋ90万円,中古一戸建て,90万円,90,４Ｋ,4,82.17m²,82.17,553.74m²,553.74,1981年2月（築45年3ヶ月）,1981-02-01,築45年2ヶ月,45,門司港レトロ観光線 「関門海峡めかり」駅 徒歩37分,北九州市門司区鳴竹１丁目,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.html
6979769763,京都郡みやこ町 徳政（新豊津駅） 平屋建 ５ＤＫ90万円,中古一戸建て,90万円,90,５ＤＫ,5,97.68m²,97.68,789.87m²,789.87,1868年4月（築158年1ヶ月）,1868-04-01,築158年0ヶ月,158,平成筑豊鉄道 「新豊津」駅 徒歩34分,N/A,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.html
6986698059,豊前市 大字馬場（豊前松江駅） 2階建 ７ＤＫ98万円,中古一戸建て,98万円,98,７ＤＫ,7,233.05m²,233.05,611.46m²,611.46,1950年1月（築76年4ヶ月）,1950-01-01,築76年3ヶ月,76,ＪＲ日豊本線 「豊前松江」駅 徒歩36分,N/A,(株)エステートプラン（筑豊電気鉄道/穴生 徒歩2分）オンライン相談可私たちは安心を提供することを目的とします。,N/A,fukuoka.html
1103410103,北九州市門司区 大字大里 3階建 ５ＤＫ99万円,中古一戸建て,99万円,99,５ＤＫ,5,118.04m²,118.04,"1,127.00m²",1,1976年2月（築50年3ヶ月）,1976-02-01,築50年2ヶ月,50,－,北九州市門司区大字大里,センチュリー２１　大和住研(株)（阪急京都線/茨木市 徒歩3分）オンライン相談可阪急京都線茨木市駅から徒歩３分にあるセンチュリー21大和住研です。,N/A,fukuoka.html
6990375004,北九州市八幡西区 上上津役６丁目（永犬丸駅） 平屋建 ４ＤＫ148万円,中古一戸建て,148万円,148,４ＤＫ,4,94.74m²,94.74,651.67m²,651.67,1978年6月（築47年11ヶ月）,1978-06-01,築47年10ヶ月,47,筑豊電気鉄道 「永犬丸」駅 徒歩42分,北九州市八幡西区上上津役６丁目,(株)ＡｌｂａＬｉｎｋ　博多支店（地下鉄空港線/中洲川端 徒歩5分）AlbaLinkは、空き家の買取再販と利活用を専門とする不動産IT企業です,N/A,fukuoka.html
6988671854,朝倉市 黒川 平屋建 ５ＤＫ150万円,中古一戸建て,150万円,150,５ＤＫ,5,113.61m²,113.61,"2,046.00m²",2,1888年1月（築138年4ヶ月）,1888-01-01,築138年3ヶ月,138,【バス】コミュニティバス「馬場」 停歩4分,N/A,イーグルハウス(株)（西鉄甘木線/甘木 徒歩1分）オンライン相談可不動産の事なら何でもご相談ください！一緒に理想のお住まいを探しましょう！,N/A,fukuoka.html
1164813107,大牟田市 黄金町１丁目（大牟田駅） 2階建 ５ＤＫ150万円,中古一戸建て,150万円,150,５ＤＫ,5,172.45m²,172.45,516.26m²,516.26,1961年1月（築65年4ヶ月）,1961-01-01,築65年3ヶ月,65,ＪＲ鹿児島本線 「大牟田」駅 徒歩17分,N/A,Ｙ．コーポレーション(株)　大牟田本店（ＪＲ鹿児島本線/大牟田 徒歩25分）オンライン相談可【不動産売買専門】売るのも買うのも Ｙ．コーポレーションへ,N/A,fukuoka.html
6988496774,豊前市 大字大西（宇島駅） 平屋建 ４ＤＫ150万円,中古一戸建て,150万円,150,４ＤＫ,4,111.34m²,111.34,522.19m²,522.19,1974年2月（築52年3ヶ月）,1974-02-01,築52年2ヶ月,52,ＪＲ日豊本線 「宇島」駅 徒歩50分,N/A,(株)オーシャン,N/A,fukuoka.html
6989770868,大牟田市 新勝立町５丁目（大牟田駅） 2階建 ７ＤＫ180万円,中古一戸建て,180万円,180,７ＤＫ,7,120.26m²,120.26,545.00m²,545.00,1983年4月（築43年1ヶ月）,1983-04-01,築43年0ヶ月,43,西鉄天神大牟田線 「大牟田」駅 徒歩50分,N/A,あざみハウジング（西鉄天神大牟田線/大牟田 徒歩5分）あなたの住まいの空間をお探しします,N/A,fukuoka.html
1148227014,北九州市八幡西区 元城町（八幡駅） 平屋建 ４ＤＫ180万円,中古一戸建て,180万円,180,４ＤＫ,4,47.93m²,47.93,694.00m²,694.00,1940年1月（築86年4ヶ月）,1940-01-01,築86年3ヶ月,86,ＪＲ鹿児島本線 「八幡」駅 徒歩27分,北九州市八幡西区元城町,(株)土地空間堂（筑豊電気鉄道/三ヶ森 徒歩7分）理想を現実に、納得するまでお手伝い！！,N/A,fukuoka.html
6990103799,行橋市 大字道場寺（新田原駅） 平屋建 ３Ｋ180万円,中古一戸建て,180万円,180,３Ｋ,3,50.41m²,50.41,764.23m²,764.23,1947年1月（築79年4ヶ月）,1947-01-01,築79年3ヶ月,79,ＪＲ日豊本線 「新田原」駅 徒歩11分,N/A,(株)エステートプラン（筑豊電気鉄道/穴生 徒歩2分）オンライン相談可私たちは安心を提供することを目的とします。,N/A,fukuoka.html
6986785269,築上郡築上町 大字高塚（椎田駅） 平屋建 １０Ｋ198万円,中古一戸建て,198万円,198,１０Ｋ,10,106.44m²,106.44,558.64m²,558.64,1959年4月（築67年1ヶ月）,1959-04-01,築67年0ヶ月,67,ＪＲ日豊本線 「椎田」駅 徒歩21分,N/A,(株)エステートプラン（筑豊電気鉄道/穴生 徒歩2分）オンライン相談可私たちは安心を提供することを目的とします。,N/A,fukuoka.html
1190248215,大牟田市 大字勝立（大牟田駅） 平屋建 ６Ｋ200万円,中古一戸建て,200万円,200,６Ｋ,6,119.41m²,119.41,641.87m²,641.87,1975年4月（築51年1ヶ月）,1975-04-01,築51年0ヶ月,51,ＪＲ鹿児島本線 「大牟田」駅 徒歩48分[バス利用可] バス 11分 勝立 停歩4分,N/A,ＬＩＸＩＬ不動産ショップ　さくらエステート（福岡トーヨー(株)）（西鉄天神大牟田線/新栄町 徒歩18分）オンライン相談可福岡・佐賀・熊本の不動産に関する事ならお任せ下さい！,N/A,fukuoka.html
6989592911,北九州市八幡東区 末広町（スペースワールド駅） 平屋建 ４ＬＤＫ200万円,中古一戸建て,200万円,200,４ＬＤＫ,4,101.17m²,101.17,"1,204.59m²",1,1978年1月（築48年4ヶ月）,1978-01-01,築48年3ヶ月,48,ＪＲ鹿児島本線 「スペースワールド」駅 徒歩21分,北九州市八幡東区末広町,(有)リサーチ　不動産リサーチ（ＪＲ日豊本線/南小倉 徒歩34分）不動産の事なら当社へおまかせ下さい♪♪,N/A,fukuoka.html
6976729618,北九州市八幡東区 中尾３丁目 平屋建 ４ＬＤＫ200万円,中古一戸建て,200万円,200,４ＬＤＫ,4,97.59m²,97.59,727.00m²,727.00,1975年1月（築51年4ヶ月）,1975-01-01,築51年3ヶ月,51,【バス】西鉄高槻小学校前 停歩4分,北九州市八幡東区中尾３丁目,(株)イエマネ（ＪＲ日豊本線/南小倉 徒歩5分）弊社は、不動産の売却・買取ができる専門店です！！,N/A,fukuoka.html
6990159641,田川郡添田町 大字添田（添田駅） 2階建 ４ＤＫ200万円,中古一戸建て,200万円,200,４ＤＫ,4,1.00m²,1.00,"1,265.18m²",1,1976年4月（築50年1ヶ月）,1976-04-01,築50年0ヶ月,50,ＪＲ日田彦山線 「添田」駅 徒歩10分,N/A,(株)グッドハウス（平成筑豊鉄道/下伊田）オンライン相談可筑豊の不動産なら（株）グッドハウスへ！,N/A,fukuoka.html
1076805599,田川郡福智町 赤池（赤池駅） 平屋建 ６Ｋ200万円,中古一戸建て,200万円,200,６Ｋ,6,94.87m²,94.87,503.16m²,503.16,1988年3月（築38年2ヶ月）,1988-03-01,築38年1ヶ月,38,平成筑豊鉄道 「赤池」駅 徒歩9分,N/A,(株)東武住販　飯塚店（ＪＲ筑豊本線/新飯塚 徒歩3分）オンライン相談可不動産を売るとき、買うとき、お客様の住活を強力にサポート致します,N/A,fukuoka.html
6985245378,豊前市 大字大河内 2階建 ７ＳＤＫ200万円,中古一戸建て,200万円,200,７ＳＤＫ,7,135.00m²,135.00,858.34m²,858.34,1960年5月（築66年）,1960-05-01,築65年11ヶ月,65,宇島駅から車で,N/A,グランアミーゴ(株)（ＪＲ日豊本線/宇島 徒歩18分）新事務所に移転いたしました。皆様のお役に立てるよう頑張ります。,N/A,fukuoka.html
6987836688,うきは市 浮羽町新川 2階建 ６ＤＫ230万円,中古一戸建て,230万円,230,６ＤＫ,6,137.42m²,137.42,507.93m²,507.93,1975年3月（築51年2ヶ月）,1975-03-01,築51年1ヶ月,51,【バス】公民館前 停歩1分,N/A,田舎ぐらし　ほたるの里　(有)大在工業（ＪＲ日豊本線/坂ノ市 徒歩3分）ご紹介するのは「暮らし」です,N/A,fukuoka.html
6987340205,直方市 大字頓野（感田駅） 2階建 ５ＤＫ230万円,中古一戸建て,230万円,230,５ＤＫ,5,142.31m²,142.31,890.01m²,890.01,1972年5月（築54年）,1972-05-01,築53年11ヶ月,53,筑豊電気鉄道 「感田」駅 徒歩27分,N/A,(株)ジェクトワン　アキサポ事業部（ＪＲ山手線/渋谷 徒歩1分）,N/A,fukuoka.html
6986918476,朝倉郡東峰村 大字福井 2階建 ６ＤＫ250万円,中古一戸建て,250万円,250,６ＤＫ,6,178.13m²,178.13,"1,975.57m²",1,1971年1月（築55年4ヶ月）,1971-01-01,築55年3ヶ月,55,【バス】宝珠山駅 停歩2分,N/A,イーグルハウス(株)（西鉄甘木線/甘木 徒歩1分）オンライン相談可不動産の事なら何でもご相談ください！一緒に理想のお住まいを探しましょう！,N/A,fukuoka.html
1164792007,大牟田市 大字今山（東甘木駅） 平屋建 ４ＬＤＫ250万円,中古一戸建て,250万円,250,４ＬＤＫ,4,144.99m²,144.99,"1,400.52m²",1,1960年1月（築66年4ヶ月）,1960-01-01,築66年3ヶ月,66,西鉄天神大牟田線 「東甘木」駅 徒歩42分,N/A,Ｙ．コーポレーション(株)　大牟田本店（ＪＲ鹿児島本線/大牟田 徒歩25分）オンライン相談可【不動産売買専門】売るのも買うのも Ｙ．コーポレーションへ,N/A,fukuoka.html
6990049208,田川郡川崎町 大字川崎 平屋建 ６ＤＫ270万円,中古一戸建て,270万円,270,６ＤＫ,6,92.56m²,92.56,"1,576.83m²",1,1926年3月（築100年2ヶ月）,1926-03-01,築100年1ヶ月,100,【バス】東川崎公民館前 停歩3分,N/A,たまる不動産（ＪＲ日田彦山線/田川後藤寺）田川市郡を中心に営業展開をしております。,N/A,fukuoka.html
1165761307,大牟田市 八本町（新栄町駅） 平屋建 ４ＤＫ280万円,中古一戸建て,280万円,280,４ＤＫ,4,90.08m²,90.08,650.89m²,650.89,1933年1月（築93年4ヶ月）,1933-01-01,築93年3ヶ月,93,西鉄天神大牟田線 「新栄町」駅 徒歩19分,N/A,Ｙ．コーポレーション(株)　大牟田本店（ＪＲ鹿児島本線/大牟田 徒歩25分）オンライン相談可【不動産売買専門】売るのも買うのも Ｙ．コーポレーションへ,N/A,fukuoka.html
6985168602,鞍手郡小竹町 大字赤地（勝野駅） 平屋建 ３ＤＫ280万円,中古一戸建て,280万円,280,３ＤＫ,3,84.98m²,84.98,565.24m²,565.24,1972年7月（築53年10ヶ月）,1972-07-01,築53年9ヶ月,53,ＪＲ筑豊本線 「勝野」駅 徒歩9分,N/A,(株)ポートハウス（ＪＲ鹿児島本線/水巻 徒歩8分）『もっと身近な不動産』を目指して、人と人+不動産を繋ぐ仲介をします,N/A,fukuoka.html
6988589696,田川郡川崎町 大字安眞木（添田駅） 平屋建 ４ＤＫ280万円,中古一戸建て,280万円,280,４ＤＫ,4,108.42m²,108.42,"2,258.00m²",2,1983年1月（築43年4ヶ月）,1983-01-01,築43年3ヶ月,43,ＪＲ日田彦山線 「添田」駅 徒歩7200ｍ,N/A,(株)かなでるプラン（ＪＲ筑豊本線/浦田 徒歩1分）かなでるプランは住まいの売買をご検討のお客様に最適なプランをご提案いたします。,N/A,fukuoka.html
6988705482,田川郡川崎町 大字安眞木 平屋建 ４ＤＫ280万円,中古一戸建て,280万円,280,４ＤＫ,4,108.42m²,108.42,"2,258.00m²",2,1983年1月（築43年4ヶ月）,1983-01-01,築43年3ヶ月,43,【バス】黒木口 停歩2分,N/A,(株)Ｓｔｅｐ（ＪＲ後藤寺線/筑前庄内 徒歩22分）オンライン相談可レスポンスの早さを重視し、迅速丁寧な対応を心がけています。,N/A,fukuoka.html
6989543143,京都郡みやこ町 節丸（東犀川三四郎駅） 2階建 ７ＤＫ280万円,中古一戸建て,280万円,280,７ＤＫ,7,123.51m²,123.51,"3,129.34m²",3,1976年2月（築50年3ヶ月）,1976-02-01,築50年2ヶ月,50,平成筑豊鉄道 「東犀川三四郎」駅 徒歩46分,N/A,(株)オーシャン,N/A,fukuoka.html
1084875895,大牟田市 大字唐船（西鉄銀水駅） 平屋建 ７ＤＫ300万円,中古一戸建て,300万円,300,７ＤＫ,7,116.36m²,116.36,"1,248.10m²",1,1988年1月（築38年4ヶ月）,1988-01-01,築38年3ヶ月,38,西鉄天神大牟田線 「西鉄銀水」駅 徒歩25分,N/A,Ｙ．コーポレーション(株)　大牟田本店（ＪＲ鹿児島本線/大牟田 徒歩25分）オンライン相談可【不動産売買専門】売るのも買うのも Ｙ．コーポレーションへ,N/A,fukuoka.html
6978826408,北九州市門司区 田野浦２丁目 平屋建 ３ＬＤＫ300万円,中古一戸建て,300万円,300,３ＬＤＫ,3,74.53m²,74.53,758.99m²,758.99,1976年12月（築49年5ヶ月）,1976-12-01,築49年4ヶ月,49,【バス】田野浦臨海公園駅前 停歩550ｍ,北九州市門司区田野浦２丁目,(株)不動産のミキハウス（ＪＲ鹿児島本線/門司港 徒歩5分）売買・賃貸・管理・コンサルタント・競売等。不動産全般取扱い。,N/A,fukuoka.html
1066852598,田川市 大字糒（糒駅） 平屋建 ４ＳＬＤＫ300万円,中古一戸建て,300万円,300,４ＳＬＤＫ,4,121.08m²,121.08,591.00m²,591.00,1987年1月（築39年4ヶ月）,1987-01-01,築39年3ヶ月,39,平成筑豊鉄道 「糒」駅 徒歩9分,N/A,(株)福屋不動産販売　千早店（ＪＲ鹿児島本線/千早 徒歩3分）オンライン相談可家を買う時、売る時、ＦＵＫＵＹＡグループにご相談ください！,N/A,fukuoka.html
9538505001,築上郡築上町 大字有安（豊前松江駅） 平屋建 ５Ｋ300万円,中古一戸建て,300万円,300,５Ｋ,5,137.40m²,137.40,574.71m²,574.71,1969年3月（築57年2ヶ月）,1969-03-01,築57年1ヶ月,57,ＪＲ日豊本線 「豊前松江」駅 徒歩23分,N/A,（株）ＺＯＮ　福岡営業所,N/A,fukuoka.html
6980120649,豊前市 大字小犬丸（三毛門駅） 平屋建 ４ＤＫ300万円,中古一戸建て,300万円,300,４ＤＫ,4,150.40m²,150.40,664.43m²,664.43,1990年1月（築36年4ヶ月）,1990-01-01,築36年3ヶ月,36,ＪＲ日豊本線 「三毛門」駅 徒歩29分[バス利用可] バス 久松 停歩11分,N/A,不動産プランニング・ジョイ　河野プランテック(株)（西鉄天神大牟田線/高宮 徒歩21分）オンライン相談可不動産のことなら河野プランテック株式会社不動産事業部プランニング・ジョイへ,N/A,fukuoka.html
